GEO,UNIT,SEX,AGE,ICD10\TIME	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
Italy,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	4	8	12	:	:	9	4	3	6	3
Cyprus,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	:	:	:	0	0	0	0	0	0	0
Latvia,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	0	0	1	0	1	0	0	0	1	1
Lithuania,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	0	1	0	0	1	1	1	0	0	1
Luxembourg,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	4	2	0	0	0	2	3	3	0	0
Malta,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	13	7	5	3	2	3	3	3	1	4
Austria,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	4	4	0	1	1	1	2	2	0	1
Poland,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	8	6	7	7	4	10	11	9	10	7
Portugal,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	8	7	3	3	2	0	2	6	1	2
Romania,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	400	251	145	59	25	18	3	6	9	9
Slovenia,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	1	0	0	0
Slovakia,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	1	0	0	0	0	1	1	0	0	0
Finland,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	1	2	1	1	0
Sweden,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	0	3	3	1	0	0	0	2	2	2
United Kingdom,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	19	13	17	15	8	12	10	8	20	11
Iceland,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	:
Norway,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	1	0	3	2	0	0	0	1	1	0
Switzerland,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	1	0	2	2	1	2	1	0	2	1
North Macedonia,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	1	0	1	0	0	0	1	0	0	0
Albania,Number,Total,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	0	1	1	2	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Total,From 10 to 14 years,Tuberculosis	18 e	9 e	5	4 e	2 e	4	6	1	1	1 e
European Union - 28 countries (2013-2020),Number,Total,From 10 to 14 years,Tuberculosis	18 e	10 e	5	7 e	4 e	4	6	1	1	1 e
Belgium,Number,Total,From 10 to 14 years,Tuberculosis	:	:	0	0	0	0	0	0	0	0
Bulgaria,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	1	0	0
Czechia,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Denmark,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Total,From 10 to 14 years,Tuberculosis	1	0	0	0	0	0	0	0	0	0
Estonia,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Greece,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Spain,Number,Total,From 10 to 14 years,Tuberculosis	2	0	0	0	0	0	2	0	0	0
France,Number,Total,From 10 to 14 years,Tuberculosis	0	1	0	1	0	0	0	0	0	0
France (metropolitan),Number,Total,From 10 to 14 years,Tuberculosis	0	1	0	1	0	0	0	0	0	0
Croatia,Number,Total,From 10 to 14 years,Tuberculosis	0	0	1	0	0	0	0	0	0	0
Italy,Number,Total,From 10 to 14 years,Tuberculosis	0	0	1	:	:	0	1	0	0	0
Cyprus,Number,Total,From 10 to 14 years,Tuberculosis	:	:	:	0	0	0	0	0	:	0
Latvia,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Lithuania,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	:	0	0	0	:	:	0
Hungary,Number,Total,From 10 to 14 years,Tuberculosis	0	1	0	0	0	0	0	0	0	0
Malta,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Austria,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	1	0	0	0
Poland,Number,Total,From 10 to 14 years,Tuberculosis	0	0	1	0	0	1	1	0	0	0
Portugal,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Romania,Number,Total,From 10 to 14 years,Tuberculosis	15	7	2	2	1	3	1	0	1	1
Slovenia,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Slovakia,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Finland,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Total,From 10 to 14 years,Tuberculosis	0	1	0	3	2	0	0	0	0	0
Iceland,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	0	0	:
Norway,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Switzerland,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Albania,Number,Total,From 10 to 14 years,Tuberculosis	0	0	0	0	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	9 e	6 e	6	5 e	5 e	3	3	0	2	1 e
European Union - 28 countries (2013-2020),Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	9 e	6 e	6	5 e	5 e	4	4	0	2	1 e
Belgium,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	:	:	0	1	0	0	0	0	0	0
Bulgaria,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	1	1	0	0	1	1
Czechia,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Denmark,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	1	0	0	0
Estonia,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Greece,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Spain,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	1	0	0	0	0	0	0	0
France,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	1	2	0	0	0
France (metropolitan),Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	1	2	0	0	0
Croatia,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Italy,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	:	:	1	0	0	0	0
Cyprus,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	:	:	:	0	0	0	0	:	0	0
Latvia,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	1	0
Lithuania,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	:	0	0
Hungary,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	1	0	0	0	0	0	0	0	0
Malta,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	:
Netherlands,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Austria,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Poland,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	2	0	0	1	0	0	0	0	0	0
Portugal,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Romania,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	7	5	5	3	4	0	0	0	0	0
Slovenia,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Slovakia,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Finland,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	1	1	0	0	0
Iceland,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	:	0	:	:	:	:	0	:	:	:
Norway,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	1	0	0	0	0	0	0	0
Switzerland,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	1	0	0	0	0	0	0	0	0	0
Albania,Number,Total,From 10 to 14 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	377 e	240 e	134	54 e	18 e	14	4	7	5	2 e
European Union - 28 countries (2013-2020),Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	378 e	241 e	136	55 e	18 e	15	4	8	6	3 e
Belgium,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	:	:	0	0	0	1	1	0	0	0
Bulgaria,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	1	0	0	0	0	0	0	0	0
Czechia,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	:	:	:	0	0	0	0	0	0
Denmark,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	1	1	0	1	0	0	0	1	0	0
Estonia,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Greece,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Spain,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	4	2	5	1	0	2	1	1	0	0
France,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	2	1	2	1	1	0	1	1	0	1
France (metropolitan),Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	1	0	2	0	1	0	1	1	0	1
Croatia,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Italy,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	3	2	:	:	2	0	0	4	0
Cyprus,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	:	:	:	0	0	0	0	:	:	0
Latvia,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Lithuania,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	1	0	0	0	0	0	0	0	0	0
Malta,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	:	0	0	0	0	0	0	:	:	0
Netherlands,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	1	0	0	0	0	0	0	0	0	0
Austria,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Poland,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Portugal,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	0	0	2	1	0	1	2	0	0
Romania,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	367	232	125	47	14	9	0	2	1	1
Slovenia,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	:	0	0	0	:
Slovakia,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	0	:	0	:	0	0	0	0	0
Finland,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	1	1	2	1	0	1	0	1	1	1
Iceland,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	:	:	0	:	0	:	:	0	:
Norway,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Switzerland,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	1	0	0	0	0	0
North Macedonia,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	0	:	:	:	:	0	0	0	:	:
Albania,Number,Total,From 10 to 14 years,Human immunodeficiency virus [HIV] disease	:	:	0	0	:	:	:	:	:	:
European Union - 27 countries (from 2020),Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	2,137,836 e	2,156,016 e	2,190,652	2,136,859 e	2,168,057 e	2,130,056	2,153,742	2,161,974	2,176,355	2,177,482 e
European Union - 28 countries (2013-2020),Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	2,425,775 e	2,445,097 e	2,479,837	2,415,777 e	2,445,399 e	2,404,257	2,428,632	2,438,719	2,447,159	2,448,427 e
Belgium,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	:	:	52,083	50,368	50,949	49,575	50,118	51,435	51,356	52,066
Bulgaria,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	60,145	59,942	59,992	59,256	60,761	60,503	59,823	58,303	56,849	57,641
Czechia,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	53,772	54,377	55,880	54,190	54,072	52,705	52,719	53,076	54,080	54,150
Denmark,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	27,877	28,140	28,009	27,372	26,653	27,013	26,816	26,621	26,687	:
Germany (until 1990 former territory of the FRG),Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	383,887	389,116	396,270	383,388	388,554	385,940	391,139	397,651	404,969	409,022
Estonia,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	9,527	9,369	9,192	9,067	8,834	8,853	8,985	8,403	8,010	7,755
Ireland,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	15,691	15,390	14,882	14,801	14,412	14,602	14,391	14,457	14,727	14,060
Greece,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	53,853	54,406	54,942	55,084	55,030	54,951	56,962	56,390	57,015	56,480
Spain,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	189,714	193,269	199,897	194,928	201,769	194,154	201,136	199,647	199,095	198,121
France,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	277,858	278,794	284,729	268,653	276,553	271,406	273,401	277,598	279,336	282,195
France (metropolitan),Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	272,271	272,999	279,020	263,076	270,630	265,458	267,843	271,671	273,461	274,598
Croatia,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	25,077	25,731	26,519	25,307	26,066	25,329	26,300	26,229	26,019	25,683
Italy,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	279,032	279,296	289,826	:	:	276,383	280,851	284,027	286,619	285,068
Cyprus,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	2,565	2,752	2,764	2,825	2,833	2,623	2,813	2,739	2,780	2,722
Latvia,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	16,537	16,390	15,893	15,902	16,632	16,671	16,370	15,449	14,552	14,585
Lithuania,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	21,571	21,816	21,859	21,867	23,384	23,809	24,683	22,918	21,828	21,536
Luxembourg,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	1,731	1,780	1,925	1,725	1,667	1,738	1,796	1,628	1,730	1,810
Hungary,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	68,389	68,837	70,016	68,381	69,781	67,851	68,241	66,269	66,324	65,137
Malta,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	1,494	1,604	1,595	1,491	1,576	1,667	1,610	1,668	1,673	1,489
Netherlands,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	68,319	68,998	69,012	66,359	66,362	65,294	64,797	64,902	65,365	65,977
Austria,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	34,500	35,166	35,448	34,616	34,986	34,757	34,978	35,156	36,630	36,692
Poland,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	192,861	191,655	193,910	194,687	196,786	198,298	202,235	202,341	203,826	199,833
Portugal,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	55,189	55,687	56,226	53,470	55,753	53,742	53,644	53,922	53,691	54,413
Romania,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	139,549	144,480	142,709	138,440	138,461	136,264	133,405	135,410	137,550	137,957
Slovenia,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	9,654	9,696	10,075	9,480	9,413	9,270	9,473	9,174	9,293	9,292
Slovakia,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	27,705	27,415	27,702	27,304	28,151	28,091	28,226	27,994	27,446	27,645
Finland,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	23,760	23,985	23,935	23,878	23,965	24,335	24,805	24,451	25,152	25,547
Sweden,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	45,467	45,813	45,362	44,194	44,828	44,232	44,025	44,116	43,753	43,919
United Kingdom,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	287,939	289,081	289,185	278,918	277,342	274,201	274,890	276,745	270,804	270,945
Iceland,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	924	936	901	963	944	959	1,002	982	1,033	:
Norway,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	21,634	21,617	20,595	20,025	20,065	19,621	20,218	20,316	19,864	19,976
Switzerland,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	29,873	29,727	30,285	28,991	29,708	29,212	29,544	29,474	30,012	30,283
North Macedonia,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	9,313	9,891	9,832	9,652	9,815	10,000	10,344	9,972	10,040	10,168
Albania,Number,Males,Total,All causes of death (A00-Y89) excluding S00-T98	8,716	9,123	10,012	9,949	:	:	:	:	:	6,551
European Union - 27 countries (from 2020),Number,Males,Total,Certain infectious and parasitic diseases (A00-B99)	27,561 e	28,184 e	30,211	29,119 e	29,998 e	29,585	30,974	31,873	32,473	32,666 e
European Union - 28 countries (2013-2020),Number,Males,Total,Certain infectious and parasitic diseases (A00-B99)	29,885 e	30,583 e	32,744	31,681 e	33,025 e	33,274	34,892	35,238	35,490	35,347 e
Belgium,Number,Males,Total,Certain infectious and parasitic diseases (A00-B99)	:	:	1,194	1,180	1,158	1,012	998	1,016	1,062	1,079
Bulgaria,Number,Males,Total,Certain infectious and parasitic diseases (A00-B99)	459	387	418	417	430	411	461	411	396	399
Czechia,Number,Males,Total,Certain infectious and parasitic diseases (A00-B99)	150	150	166	181	194	232	318	451	526	457
Denmark,Number,Males,Total,Certain infectious and parasitic diseases (A00-B99)	183	356	405	372	335	371	406	325	387	:
Germany (until 1990 former territory of the FRG),Number,Males,Total,Certain infectious and parasitic diseases (A00-B99)	5,074	5,040	5,146	5,217	5,755	5,662	6,293	6,597	7,062	7,197
Estonia,Number,Males,Total,Certain infectious and parasitic diseases (A00-B99)	102	91	109	112	76	107	98	87	96	85
Ireland,Number,Males,Total,Certain infectious and parasitic diseases (A00-B99)	102	97	81	84	100	85	127	106	120	131
Greece,Number,Males,Total,Certain infectious and parasitic diseases (A00-B99)	323	378	392	355	359	387	451	528	591	515
Spain,Number,Males,Total,Certain infectious and parasitic diseases (A00-B99)	3,782	3,869	4,030	4,080	4,257	3,950	4,185	4,038	3,625	3,470
